Date,Heure,Humidite_%,Temperature_C,Luminosite_%,Score,Etat,LED_VERTE,LED_ROUGE,Prediction,Etat_Reel
2026-04-19,05:47:51,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:47:52,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:47:53,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:47:54,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:47:56,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:47:57,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:47:58,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:00,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:01,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:02,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:03,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:05,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:06,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:07,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:09,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:10,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:11,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:12,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:14,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:15,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:16,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:18,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:19,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:20,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:21,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:23,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:24,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:25,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:27,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:28,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:29,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:30,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:32,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:33,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:34,86.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:36,85.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:37,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:38,52.0,38.5,2.0,55,SOL SEC - IRRIGATION BIENTOT,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:48:39,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:48:48,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:48:56,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:04,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:12,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:20,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:29,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:37,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:45,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:49:53,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:50:01,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:50:10,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:50:18,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:50:26,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:50:34,27.0,38.5,2.0,80,SOL TRES SEC - IRRIGATION ACTIVEE,ON,ON,IRRIGATION,IRRIGATION
2026-04-19,05:50:42,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:44,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:45,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:46,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:47,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:49,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:50,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:51,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,05:50:53,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,06:25:50,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,06:25:51,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
2026-04-19,06:25:52,76.0,38.5,2.0,30,SOL HUMIDE - PAS IRRIGATION,OFF,OFF,PAS IRRIGATION,PAS IRRIGATION
